Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
Applied Intuition;https://www.appliedintuition.com;Mountain View, USA;USA 🇺🇸;2017;1106;Porsche, Isuzu, May Mobility, 18 of top 20 global automakers, US Department of Defense;$415M ARR with 100% YoY growth serving 18 of top 20 automakers and expanding into defense;Primarily focused on autonomous vehicles not traditional manufacturing/PLM though expanding into adjacent verticals;Simulation & Testing;Scale;Validation & Verification;Autonomous Vehicle Simulation;Automotive, Defense;Simulation, Digital Twin, Autonomous Vehicles, ADAS, AI;Enterprise SaaS Platform;Full-Stack AV Development Platform, Synthetic Data, Hardware-in-the-Loop;N A;Automotive, Defense, Mining, Construction, Agriculture;05-Cognitive Thread (PLM, MBSE, DT);AV Simulation & Testing;Autonomous Systems;Series F;Scale;2025;600000000;1200000000;415000000;2905000000;$600M Series F in Jun 2025 at $15B valuation. $415M ARR in 2024 with 100% YoY growth. Approaching $1B ARR by end 2025.;BlackRock, Kleiner Perkins, Fidelity, General Catalyst, Lux Capital, Franklin Templeton, Qatar Investment Authority, Abu Dhabi Investment Council;5.0;Autonomous vehicle and defense simulation is a massive and growing market;5.0;1100+ employees with $415M ARR and 100% growth rate;4.5;Full-stack simulation platform with deep automaker integration;4.5;$415M ARR on $1.2B funding is excellent efficiency;5.0;100% YoY ARR growth approaching $1B is exceptional;4.5;Enabling safe deployment of autonomous vehicles globally;4.5;Deep integration with 18 of 20 top automakers creates strong switching costs
Arbor;https://www.findarbor.com;New York, USA;USA 🇺🇸;2025;8;First Student, Lyons Magnus;AI-powered frontline intelligence platform turning employee conversations into strategic insights for manufacturing and logistics;Very early stage with small team and limited funding in a crowded enterprise AI market;AI/ML Platform;Seed;Operations;Frontline Intelligence;Manufacturing, Logistics, Retail;AI, NLP, Enterprise Research, Operational Intelligence;SaaS Platform;AI-Powered Interviews, Conversation Intelligence, Frontline Data;N A;Manufacturing, Logistics, Retail, Transportation;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Operational Intelligence;Enterprise AI;Seed;Seed;2026;6300000;6300000;N A;18900000;$6.3M combined seed and pre-seed in Feb 2026. Led by 645 Ventures.;645 Ventures, Next Play Ventures, Chaac Ventures, Comma Capital;3.0;Frontline intelligence is a niche within broader enterprise AI market;3.0;Early team but already working with multi-billion dollar enterprises;3.0;AI interview approach is interesting but not highly defensible;N A;Too early to assess with only seed funding;2.5;Early enterprise customers but limited scale evidence;2.5;Useful for operational improvement but narrow application;2.0;Low technical barriers and many competitors in enterprise AI research
Arkestro;https://arkestro.com;San Francisco, USA;USA 🇺🇸;2017;90;Chevron, Nissan Americas, JLL;Predictive procurement platform using AI and game theory with strategic backing from Aramco Ventures and Capgemini partnership;Procurement AI is competitive space with larger players like Coupa and Jaggaer;AI/ML Platform;Growth;Procurement;Predictive Procurement;Supply Chain;AI, Procurement, Game Theory, Predictive Analytics;Enterprise SaaS Platform;Predictive Bid Optimization, Game Theory AI, Real-time Market Intelligence;N A;Energy, Automotive, Real Estate, Manufacturing;07-Streamlined Supply Chain (SCM);Predictive Procurement;Supply Chain AI;Series A;Growth;2025;36000000;78000000;N A;234000000;$36M Series A in May 2025 led by Aramco Ventures and Altira. $78M total. Capgemini partnership announced.;Aramco Ventures, Altira Group, NEA, KDT, Activant Capital;3.5;Procurement optimization is a large market but competitive;3.5;90 employees with Fortune 500 customers and strategic partnerships;3.5;Game theory approach to procurement is differentiated;3.0;$78M raised without disclosed revenue;3.5;Expanding customer base with Fortune 500 manufacturers and energy companies;3.0;Improving procurement efficiency for large enterprises;3.0;Differentiated approach but procurement AI market is increasingly crowded
Asimov;https://tryasimov.ai;San Francisco, USA;USA 🇺🇸;2025;3;Leading robotics labs (undisclosed);Building data infrastructure for humanoid robots with real-world human movement data from diverse environments;Extremely early stage (3 employees) with minimal funding and unproven business model;Data Platform;Seed;Data Collection;Robot Training Data;Robotics;Robotics Data, Human Movement, Computer Vision, AI Training;Data-as-a-Service;Real-World Human Activity Data, Proprietary Hardware, Vertically Integrated Pipeline;N A;Robotics;09-SW+HW=Innovation (Robotics, Drones);Robot Training Data;Robotics Data;Pre-Seed;Seed;2026;500000;500000;N A;1500000;$500K YC-backed. 3 employees. Collects real-world human movement data for humanoid robot training.;Y Combinator;4.0;Humanoid robot training data is a critical bottleneck with massive demand;2.0;Just 3 employees at very early stage;3.5;Vertically integrated real-world data pipeline is differentiated from synthetic approaches;N A;Too early to assess;1.5;Minimal scale with undisclosed customer specifics;3.5;Could enable the next generation of humanoid robots;2.5;Interesting niche but Scale AI and others could easily compete
Asper Technologies;https://aster-technologies.com/en/;Cesson-Sevigne, France;France 🇫🇷;1993;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;11-Exit;11-Exit;N A;N A;N A;N A;N A;N A;N A;N A;N A;Acquired by Siemens DISW in January 2026. Founded 1993 as ASTER Technologies. PCB test verification and DFM software. 30+ year history in PCB assembly testing for automotive HPC and networking.;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A
Atum Works;https://atum.works/;Mountain View, USA;🇺🇸 United States;2024;3;NVIDIA;First scalable 3D lithography foundry with submicron resolution, Caltech/NASA founding team, YC-backed;Very early stage with only 3 employees and minimal funding, unproven at scale;Semiconductor Manufacturing;Concept/Prototype;Fabrication;Nanomanufacturing;Semiconductors;3D Printing, Nanofabrication, Lithography;Hardware, Deep Tech, YC;Submicron 3D Metal Printing;Additive Manufacturing;Semiconductors, Electronics;03-Adaptive Manufacturing (AM, CAM);Nanoscale 3D Printing, Chip Fabrication;Deep Tech Hardware;Pre-Seed;Pre-Seed;2024;500000;500000;0;1500000;YC W24 batch, LOI with NVIDIA for co-development;Y Combinator, Hummingbird Ventures, Soma Capital, Transpose Platform Management, Pioneer Fund;4.0;Massive TAM in semiconductor fab cost reduction;3.5;Caltech/NASA pedigree strong but tiny team;4.5;Novel submicron 3D metal printing could disrupt chip fab;2.0;Very early with minimal capital raised;1.5;Pre-revenue with no production deployments yet;3.5;If proven could fundamentally reduce chip fabrication costs;3.0;Deep tech IP but unproven at commercial scale
AutoPallet Robotics;https://autopallet.bot;San Francisco, USA;🇺🇸 United States;2024;5;N A;Novel upside-down magnetic robot design for palletizing, high floorspace density, YC-backed;Very early stage with minimal funding, unproven in production environments;Warehouse Automation;Concept/Prototype;Material Handling;Palletizing/Depalletizing;Logistics;Robotics, Warehouse Automation, Palletizing;Hardware, YC, Mobile Robots;Inverted Magnetic Robot Design;N A;Logistics, Warehousing, E-commerce;09-SW+HW=Innovation (Robotics, Drones);Autonomous Mobile Robots, Palletizing;Warehouse Robotics;Seed;Pre-Seed;2024;500000;500000;450000;1500000;Demonstrated at Manifest 2026, estimated $450K revenue;Y Combinator, Soma Capital;3.5;Large warehouse automation market but competitive;3.0;Small founding team with novel approach;3.5;Unique inverted palletizing concept differentiates from arm-based systems;2.0;Minimal funding raised so far;2.0;Early revenue (~$450K) but unproven at scale;3.0;Could improve warehouse density if proven;2.5;Novel design but easy to replicate once concept proven
AutoPCB;N A;Boston, USA;🇺🇸 United States;2023;9;N A;AI-driven PCB design automation from diagrams with reuse and versioning, BU affiliation;Extremely early stage with only $10K funding, limited market presence vs funded competitors like Flux and Quilter;Electronics Design;Concept/Prototype;Design;PCB Layout Automation;Electronics;AI, PCB Design, EDA, Automation;SaaS, Pre-Seed;AI-Powered PCB Design From Diagrams;N A;Electronics, Hardware Design;01-Design Intelligence (CAD);AI PCB Design, EDA Automation;Electronics Design AI;Pre-Seed;Pre-Seed;2023;10000;10000;0;30000;Extremely early with only $10K from accelerators;Hatcher+, Plug and Play Tech Center, Boston University;3.5;Hot AI+EDA market but dominated by well-funded competitors;2.0;Small team with limited resources;2.5;AI PCB design has potential but competing with Flux ($37M) and Quilter;1.0;Only $10K raised - severely underfunded;1.0;No visible traction or revenue;2.5;PCB design automation is valuable if executed well;1.5;Very weak position vs well-funded competitors
Autumn Labs;https://autumnlabs.io/;San Francisco, USA;🇺🇸 United States;2023;3;N A;Real-time monitoring and control of factory robots and production lines, Harvard MBA/Mechatronics founder, YC-backed;Very small team, early stage with limited funding;Factory Operations;MVP/Early Revenue;Monitoring;Production Line Monitoring;Manufacturing;IoT, Robotics Monitoring, Factory Analytics, MES;SaaS, YC;Direct Machine Code Integration for Operational Data;N A;Manufacturing, Robotics;04-Factory Futures (MES, IIOT);Factory Monitoring, Robotic Systems Management;Factory Robot Analytics;Seed;Pre-Seed;2023;500000;500000;0;1500000;YC-backed, focused on manufacturing monitoring;Y Combinator, The MBA Fund, Contour Venture Partners, Phoenix Investment Club, SurgePoint Capital;3.5;Growing demand for factory digitization and robot monitoring;3.0;Harvard MBA + Mechatronics Engineering founder credible;3.0;Integrates directly with machine code for real-time insights;2.0;Limited funding at $500K;1.5;No visible revenue or named customers;3.0;Factory monitoring is critical as robotics adoption grows;2.0;Early stage with minimal defensibility
Azalea Robotics;https://www.azalearobotics.com;Berkeley, USA;🇺🇸 United States;2023;15;N A;Specialized airport baggage handling robotics, clear niche focus, YC-backed with $3.5M seed;Narrow vertical (airports only), capital-intensive hardware business, no announced production contracts;Airport Automation;Prototype/Pilot;Material Handling;Baggage Handling;Aviation;Robotics, Airport Automation, Baggage Handling;Hardware, YC;Autonomous Robotic Baggage Transfer Between Airport Touchpoints;N A;N A;09-SW+HW=Innovation (Robotics, Drones);09-SW+HW=Innovation (Robotics, Drones);Airport Robotics, Baggage Handling Automation;Airport Automation;Seed;2025;3500000;7860000;0;23580000;$3.5M seed led by Zero Infinity Partners plus $3.86M debt facility;Y Combinator, Zero Infinity Partners, Vantage Futures, SOMA Capital;3.0;Airport automation market exists but niche and slow-moving procurement;3.0;Growing team, clear vertical focus;3.0;Purpose-built robotic arms for diverse bag types;2.5;Reasonable seed + debt for hardware startup;1.5;No announced production deployments;2.5;Could reduce airport labor costs but long sales cycles;2.5;Niche focus provides some moat but airports are conservative buyers
Bedrock Robotics;https://bedrockrobotics.com;San Francisco, USA;🇺🇸 United States;2024;92;N A;Elite ex-Waymo founding team, $350M+ raised, autonomous excavation proven at 130-acre scale, $1.75B valuation;Pre-revenue with massive burn rate, construction autonomy faces regulatory and safety hurdles;Construction;Growth;Earthwork;Autonomous Excavation;Construction;Robotics, Autonomous Vehicles, Construction Tech;Hardware, Deep Tech;Autonomous Excavator Operations From AV Technology;Heavy Equipment;Construction, Infrastructure;09-SW+HW=Innovation (Robotics, Drones);Autonomous Construction, Excavation Robotics;Autonomous Construction;Series B;Growth;2026;270000000;350000000;0;1750000000;$1.75B post-money valuation, $270M Series B Feb 2026, total $350M+ raised;CapitalG, Valor Atreides AI Fund, Xora, 8VC, Eclipse, Emergence Capital, Perry Creek Capital, NVentures (NVIDIA), Tishman Speyer, MIT, Georgian, Incharge Capital, C4 Ventures;4.5;Massive construction automation TAM;4.5;Three ex-Waymo engineering leaders plus $350M war chest;4.0;AV-grade perception/planning adapted for construction;3.0;Heavily funded but pre-revenue;2.5;Completed 130-acre pilot but no operator-less deployments yet;4.0;Could transform earthwork and construction productivity;4.0;Deep tech + massive funding creates strong competitive position
Boost Robotics;https://www.boostrobotics.ai;San Francisco, USA;🇺🇸 United States;2025;2;N A;Ex-Boston Dynamics Staff Engineer founder with Spot inspection experience, a16z and YC backed;Extremely early with only 2 employees, very small funding;Data Center Operations;Concept/Prototype;Inspection;Data Center Robot Inspection;Data Centers;Robotics, Data Center Automation, Inspection;Hardware, YC;Bi-Manual Teleoperation and Autonomous Intervention for Data Centers;N A;Data Centers, Technology Infrastructure;09-SW+HW=Innovation (Robotics, Drones);Data Center Robotics, Autonomous Inspection;Data Center Robot Operations;Seed;Pre-Seed;2025;500000;500000;0;1500000;YC W25 batch, a16z invested;Andreessen Horowitz, Y Combinator, Exitfund;4.0;Massive data center buildout creates huge demand for automation;3.0;Strong Boston Dynamics pedigree but tiny team;3.0;Bi-manual teleoperation for data center tasks is differentiated;2.0;Only $500K raised;1.0;Pre-revenue, pre-product;3.5;Data centers desperately need automation at scale;2.0;Too early to have meaningful moat
BotBuilt;https://www.botbuilt.com;Durham, USA;🇺🇸 United States;2020;29;N A;Automated framing and truss fabrication with 2000+ unit pipeline, $4.4M revenue, proven product-market fit;Construction robotics is capital intensive, limited to framing components, M&A offer suggests possible distress or exit;Construction;Growth;Fabrication;Prefab Framing and Trusses;Construction;Robotics, Construction Tech, Prefab, AI;Hardware, YC;AI Blueprint-to-3D-to-Robot Programming Pipeline;Offsite Construction;Residential Construction;09-SW+HW=Innovation (Robotics, Drones);Construction Robotics, Prefab Manufacturing;Construction Automation;Seed;Growth;2023;12400000;18900000;4400000;30800000;$35M post-money valuation, $4.4M revenue 2024, M&A offer Apr 2025;Ambassador Supply, Y Combinator, Owens Corning, Shadow Ventures;3.5;Housing shortage drives demand for construction automation;3.5;29-person team with proven product and 2000+ unit pipeline;3.0;Blueprint-to-robot automation is differentiated but replicable;3.0;$18.9M raised with $4.4M revenue shows decent efficiency;3.5;$4.4M revenue and 2000+ unit backlog;3.5;Addresses housing crisis with scalable prefab automation;3.0;Product proven but technology not deeply defensible
Bucket Robotics;https://bucket.bot/;Pittsburgh, USA;🇺🇸 United States;2024;5;N A;CAD-to-defect-detection without labeling using synthetic data, 50x faster deployment than competitors, ex-AV founders;Very early stage, small team, limited funding;Quality Control;MVP/Early Revenue;Inspection;Defect Detection;Manufacturing;Computer Vision, Quality Control, Synthetic Data, AI;SaaS+Hardware, YC;CAD-Based Synthetic Data for Zero-Label Defect Detection;Discrete Manufacturing;Manufacturing, Automotive;04-Factory Futures (MES, IIOT);Visual Inspection, Defect Detection, Quality AI;Manufacturing Quality Vision;Seed;Pre-Seed;2024;500000;500000;0;1500000;YC-backed, founders from Stack AV/Argo AI;Y Combinator;3.5;Manufacturing quality inspection is large underserved market;3.5;Strong AV industry background from Argo AI/Stack AV/Latitude AI;4.0;Synthetic data from CAD eliminates labeling bottleneck - genuinely novel;2.0;Only $500K raised;1.5;Early customer engagement but limited traction data;3.5;Could dramatically reduce quality inspection deployment time;3.0;Novel synthetic data approach provides some technical moat
Cambridge Aerospace;N A;Cambridge, United Kingdom;🇬🇧 United Kingdom;2024;60;UK MoD (in discussions);$216M+ raised in under 18 months, elite defense/academic founding team, first interceptor prototypes being tested weekly;No production contracts yet, defense procurement is slow and political, not directly engineering/PLM software;Defense;Growth;Design and Manufacturing;Interceptor Systems;Defense;Defense Tech, Aerospace, Missiles, Hardware;Hardware, Deep Tech;Low-Cost Interceptor Missiles (Skyhammer/Starhammer);Defense Manufacturing;Defense, Aerospace;11-Exit;Defense Interceptor Systems;Defense Hardware;Series A;Growth;2025;100000000;216000000;0;648000000;Defense hardware company - not engineering/industrial AI software. $216M raised, approaching $400M+ valuation. Classified as Exit - outside core PLM/CAD/manufacturing software scope;Never Lift, Accel, Lakestar, Lux Capital;4.5;European defense spending surge creates massive TAM;4.5;Ex-MIT professor, ex-Anduril director, ex-Defense Secretary;3.5;Rapid prototyping of interceptor systems;3.0;$216M raised but hardware is capital-intensive;2.0;Testing weekly but no production contracts;4.5;Critical European defense capability gap;3.5;Deep tech IP and government relationships
