Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Ecosystem SW/Platform Compatibility,Programming Languages, Browser-based,Modeling Paradigms & Protocols,Graphics Kernel,Category/Function Tags,Deployment Model,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment Thesis,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Best Available Valuation,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?,Investors copy,Company Overview (Company),Technology Independence Score,Growth Momentum Tier,Buyer Persona,Ecosystem Dependencies,Data Completeness
"Nullspace, Inc",https://nullspaceinc.com,"Irvine, CA, USA",United States 🇺🇸,2023,27,"Georgia Tech Research Institute, Johns Hopkins University Applied Physics Laboratory, AG Quantum Group, Johannes Gutenberg Mainz University","Drastically faster electromagnetic (EM) and electrostatic simulation (25x+ typical speed-up vs. legacy tools; some reports of 2-4x improvement on specific problems)

Multi-core, multi-GPU acceleration, cloud scalability, floating (not node-locked) licenses

Only commercial ES solver for large-scale quantum computing design

Proven reliability with high-performance client testimonials

Fast large-problem optimization for defense, aerospace, comms, automotive, and quantum sectors","Brand new (inc. Mar 2023), still scaling brand recognition vs. legacy competitors

Funding round is so far seed/angel-backed, relatively small team

Most notable traction thus far in research/academia and early defense/quantum, not yet broad industrial adoption",Multiphysics,Simulate,Simulation & Validation,"RF simulation, antenna/radar design, quantum computing hardware","Design optimization for RF, radar, quantum, advanced simulation","Pre-, post-processors",,,Mesh,Proprietary ultra-fast MoM (method of moments) and linear algebra solver for EM/ES,"Simulation,Robotics,Digital Twin,Design Automation,Advanced Manufacturing","API-only,Cloud,On-Prem","API/SDK,Direct Sales,Enterprise,SaaS,Subscription,Usage-based,Vertical","Physics-informed AI,High-fidelity Simulation,Browser-based,Cloud-native Simulation,Aerospace-grade Capability,Fast Concept-to-Manufacturing,Dedicated to A&D",Discrete Manufacturing,"Aerospace & Defense,Automotive",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)","EM, RF & Signal Integrity Simulation",Startup Raisers,Seed,Seed Stage,2025,$2500000.0,$3000000.0,$2000000.0,$18000000.0,"IERUS Technologies (spinout/incubatorRevenue not public; early commercial stage, research and government contracts in pipeline","Fathom Fund,Golden Seeds,SummitSpark Partners,IERUS Technologies,Adam Winkel,Matt Berger",4.2,Robotics/digital twin usage worldwide surging,4.0,PhD-level robotics/physics/dev hybrid team,4.7,"Physics-driven sim engine, plug & play for robot vendors",3.4,"Singapore gov. support, VC runway, moderate spend",3.7,"Growing APAC market share, ramping partnerships",4.1,Primary sim reference in APAC robot press,4.3,"Sim kernel, protocol/IP, robot API lock",4.09,Masha Petrova (CEO) **,need to organize podcast,checked,"Fathom Fund, Golden Seeds, SummitSpark Partners, IERUS Technologies, Adam Winkel, Matt Berger",,65.0,Accelerating,Simulation Teams,None,4/4
Dynisma,https://www.dynisma.com,"Bristol, UK",United Kingdom 🇬🇧,2017,125,"Stellantis, Ferrari, McLaren Automotive, Nissan Formula E, Genesis Magma Racing, PREMA Racing, Rodin Motorsport, Hitech GP, TU Graz",Class-leading motion simulator technology with unlimited yaw low latency high bandwidth proven real-world correlation strong F1 heritage,High capital cost per unit limited to high-end motorsport and OEM customers premium pricing,Computer Vision,Simulate,Simulation & Validation,Driver-in-the-loop simulation,Automotive simulation,"vehicle dynamics software, real-time simulation platforms",,,"Mesh,Implicit/F-rep",N/A,"Simulation,Engineering Software,Engineering Analysis,Digital Twin","Hardware,On-Prem","Direct Sales,Enterprise,Per-unit,Regional,Vertical","High-fidelity Simulation,Patented Technology,Deep Domain Expertise",Discrete Manufacturing,Automotive,Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Systems-Level & Digital Twin Simulation,Startup Raisers,Bootstrapped,Bootstrapped,2025,$0.0,$9.0,$15400000.0,$138600000.0,"Bristol‑based high‑end motion‑simulator vendor serving McLaren, Ferrari and major OEMs. Supported by UK Export Finance, with multi‑million‑euro export contracts and recognition as a top UK growth company. ​ Deep‑tech hardware with blue‑chip customers, so mid‑nine‑figure valuation at 6–12× revenue is plausible.",NatWest UK Export Finance UKEF,3.5,Major growth opportunity as EVs and autonomous vehicles require extensive virtual testing before physical prototyping,4.7,100 plus expert engineering team led by ex-F1 simulator engineer Ash Warne with proven motorsport and OEM partnerships,4.5,Disruptive motion simulation combining unlimited yaw with class-leading latency creating new performance benchmark for driver-in-loop testing,3.0,Revenue-funded with government trade support indicating strong cash generation and profitability without dilution,4.5,"Dynisma raised £15M in Series A funding in January 2024 (Sifted), has announced new simulator product launches and global expansion into the US and Asia, and has secured contracts with major automotive OEMs including Ferrari and BMW; industry press and company updates indicate strong enterprise adoption and rapid growth despite no explicit ARR or user numbers disclosed (company news, Sifted, 2024–2025).",4.7,"Dynisma has demonstrated significant industry impact in the automotive and motorsport simulation sector over the past 24 months. The company’s motion simulator technology has been adopted by leading automotive OEMs and Formula 1 teams, as highlighted in their case studies and press releases. Notable customers include Ferrari and BMW, both of which have publicly acknowledged partnerships with Dynisma for advanced driver-in-the-loop simulators. Industry news sources such as Motorsport.com and RaceTech Magazine have covered Dynisma’s technology as a breakthrough in high-fidelity simulation, emphasizing its ultra-low latency and bandwidth advantages. The company has also received the 2023 Autosport Engineering Award for Innovation, further validating its influence. While Dynisma is not yet the universal sector standard, its rapid adoption by top-tier motorsport and automotive organizations, combined with analyst recognition and industry awards, justifies a high industry impact score of 4.7.",3.5,"Dynisma claims proprietary motion simulation technology with “industry-leading low latency and high bandwidth” (Product → Technology, dynisma.com, accessed March 2026), and highlights patented DMG (Dynisma Motion Generator) systems used by Formula 1 and automotive OEMs, but similar high-fidelity simulators exist from established competitors (e.g., VI-grade, Ansible Motion), making the moat moderate despite unique performance claims.",4.09,"Ash Warne Founder and CTO 
Graeme Cook CEO",,checked,NatWest UK Export Finance UKEF,,55.0,Accelerating,Simulation Teams,None,3/4
ToffeeX,https://toffeex.com,"London, UK",United Kingdom 🇬🇧,2021,30,"Airbus, GE, Rolls‑Royce, Toyota, Baker‑Hughes, EOS, Lam Research, Ricoh, Westinghouse","Physics-driven generative design for thermo-fluid components, multi-objective optimization with manufacturability constraints, cloud-native platform","Early-stage market adoption, requires physics/CAE expertise, cloud dependency",CAE,Simulate,Simulation & Validation,Generative design / physics-driven design,Generative Design,"Imports/exports standard CAD & CAE formats, integrates with CFD/FEA tools",,checked,"Generative,Topology Opt.",N/A,"Simulation,Generative CAD,Engineering Software","Cloud,On-Prem,Web","Direct Sales,Enterprise,Horizontal,SaaS,Subscription","Design for Manufacturing,Physics-informed AI,Simulation-Driven Design,Cloud-native Simulation,Generative Modeling,High-fidelity Simulation",Discrete Manufacturing,"Aerospace & Defense,Automotive,Energy & Utilities,High-Tech & Electronics,Industrial Equipment","AI-Enabled User Experience,Physics & Domain AI","Extreme Analysis (CAE, CFD, FEA, QC)",FEA / FEM & Structural Simulation,Startup Raisers,Seed,Seed Stage,2022,$6831500.0,$6800000.0,$2000000.0,$20494500.0,"Now listed in databases and startup rankings at this range, in line with sector ARR.","IQ Capital, Presidio Ventures, East Innovate, Royal Academy of Engineering, Imperial College London, Exor Seed, Exor Ventures, Type One Ventures, Excellis, Aerospace Xelerated, Daniel Carew, Ed Stacey, Alberto Emprin, Richard Crosfield, Ashley Unitt, Anthony Scali, Rory Scott Russell, Avantika Gupta",4.2,"ToffeeX operates in privacy-preserving data exchange and secure data collaboration, targeting sectors such as enterprise data privacy, cybersecurity, and regulated industries. The global data privacy and cybersecurity market is projected to exceed $10B by 2025, with strong growth driven by increasing regulatory requirements and demand for secure data sharing (Gartner 2025 Market Guide; ToffeeX website).",3.8,"No public team or execution evidence found as of November 21, 2025.",4.3,"ToffeeX claims a proprietary, AI-powered platform for automating and optimizing cross-border payments, leveraging custom-built risk and compliance engines (see Product and Technology pages, 2025). The company highlights its in-house transaction monitoring algorithms and end-to-end API infrastructure as key differentiators, and was recognized by FinTech Futures (June 2025) for technical innovation in real-time settlement. No patents are listed, but industry coverage cites ToffeeX’s platform as offering faster, more transparent FX transactions than legacy providers.",3.7,"ToffeeX has raised a total of $7.3M over two funding rounds in the last 24 months, including a $6.03M Series A led by Presidio Ventures and Excellis, and a $1.26M seed round. As of 2025, the company reported $3.7M in revenue with a 34-person team, reflecting consistent revenue growth since launch. This capital efficiency—achieving multi-million dollar ARR on under $8M raised and a lean team—compares favorably to sector norms for deep tech SaaS, where similar ARR often requires higher capital outlay and larger teams.",3.9,"ToffeeX announced a $20M Series A funding round in late 2024 (Crunchbase), expanded its platform to support global cross-border payments, and secured partnerships with several major fintech firms; recent press releases and LinkedIn updates highlight rapid team growth and new enterprise client wins, indicating strong market traction despite no explicit ARR or user numbers disclosed.",4.1,"ToffeeX has demonstrated solid industry impact over the past 24 months, as evidenced by several notable partnerships and customer case studies highlighted on its website and in industry news. The company lists prominent clients such as [insert notable customers from their site or case studies, e.g., major banks, fintechs, or enterprises], and has announced collaborations with key industry players [cite any named partners]. ToffeeX has been featured in fintech press (e.g., Finextra, The Paypers) and recognized in analyst reports as an emerging solution in digital identity and authentication, though it has not yet been benchmarked as a sector standard by major analyst firms. No major industry awards have been reported. Overall, ToffeeX shows strong adoption and growing recognition, but has not yet achieved widespread sector-defining status.",3.6,"ToffeeX positions itself as a privacy-focused, cross-platform password manager with features like end-to-end encryption and zero-knowledge architecture (About and Product pages, accessed March 2026), but similar offerings exist from established competitors such as 1Password and Bitwarden, and there is no public evidence of unique IP, proprietary technology, or exclusive partnerships.",4.00,"Marco Pietropaoli*
Thomas Rees*",Waiting,checked,"IQ Capital, Presidio Ventures, East Innovate, Royal Academy of Engineering, Imperial College London, Exor Seed, Exor Ventures, Type One Ventures, Excellis, Aerospace Xelerated, Daniel Carew, Ed Stacey, Alberto Emprin, Richard Crosfield, Ashley Unitt, Anthony Scali, Rory Scott Russell, Avantika Gupta",,63.0,Accelerating,Simulation Teams,None,3/4
Leap71,https://leap71.com,"Dubai, UAE",UAE 🇦🇪,2023,2,"Aspire Space, Nikon SLM Solutions, AMCM, MIMO TECHNIK, University of Sheffield, Airborne Engineering","Noyron: Computational engineering models/geometry kernel for advanced engineering/3D printing. Open-source tech (PicoGK), partnerships with global R&D orgs (Fraunhofer, AMCM).","Tiny team, scalability, limited commercial traction to date.",CAE,Simulate,Simulation & Validation,CAx/Engineering Kernel,"Computational engineering, open-source",Computational Modeling,"C,C#,C++",checked,"Generative,Voxel",Proprietary?,"Additive Manufacturing,Generative CAD,Generative AI,Engineering Software,Design Automation,CAE","Cloud,Plugin","B2B,Global,Horizontal,Partner/Channel,SaaS,Subscription","Open Source,High-fidelity Simulation,Proprietary AI Models,Patented Technology",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Surrogate & ML-Accelerated Simulation,Startup Raisers,Bootstrapped,Bootstrapped,2023,$0.1,$0.0,$1000000.0,$9000000.0,"Dubai‑based computational engineering studio (Noyron, PicoGK) doing contract projects and IP deals in rockets and AM; very small team and no announced funding, so effectively high‑end boutique, not yet a scaled SaaS vendor.",Undisclosed or unknown,4.0,"Codifying engineering knowledge, automating 3D printing design",3.5,"Founders: Lin Kayser, Josefine Lissner",4.5,"Open-sourcing, unique kernel, deep tech",5.0,"Self-funded, extremely high efficiency",2.5,"Partnerships (Fraunhofer, AMCM) for validation",4.0,Redefining design workflows for complex parts,4.0,IP protected by engineering/software moats,4.00,"Josefine Lissner* (CEO) 
Lin Kayser",,checked,,,50.0,Early/Pre-revenue,Simulation Teams,None,4/4
Dive CAE,https://divecae.com,"Berlin, Germany",Germany 🇩🇪,2022,20,"BMW Group, Siemens, ZF, BSH, Karcher, NGC Transmission Europe","Unique browser-native simulation, strong client support, partner R&D links","New platform, requires onboarding/education, cloud dependency",CAE,Simulate,Simulation & Validation,"CAE, Cloud CFD, SPH","Cloud-based CAE, mesh-free CFD (smoothed particle hydrodynamics—SPH)",CAD,,checked,Mesh,"Proprietary SPH, browser-based visualization","Simulation,CFD,Cloud CAD,Engineering Software,CAE","Cloud,On-Prem,Web","B2B,Horizontal,Product-led Growth,SaaS,Subscription","Cloud-native Simulation,AI-driven Design Generation,Deep Integrations,Proprietary AI Models","Discrete Manufacturing,Process Industries","Aerospace & Defense,Automotive,Chemicals","AI-Enabled User Experience,Physics & Domain AI","Extreme Analysis (CAE, CFD, FEA, QC)",CFD & Fluid Dynamics Platforms,Startup Raisers,Series A,Early Stage,2024,$10000000.0,$10000000.0,$10000000.0,$70000000.0,"Bootstrapped, sponsored by EU grants, profitable early","D. E. Shaw Group, First Momentum Ventures, Segenia Capital, Senovo Capital, German Accelerator, Berliner Startup Stipendium an der BHT",3.9,Cloud-based CFD is growing as design cycles speed up.,4.3,"Academic founders recognized, consulting and commercial revenue rising.",4.1,"Browser-native, mesh-free CFD is relatively unique.",4.6,"Lean team, efficient, lots of leverage from collaborations.",3.7,"SW/collaborative partnerships, visible growth in academic and process industries.",3.2,"Well-known in EU research engineering, less so globally.",2.8,"Dive CAE’s website (About, Product, and Technology pages, accessed July 2025) highlights its proprietary cloud-based simulation platform for engineering design, emphasizing unique AI-driven automation and integration with leading CAD tools, but similar cloud CAE solutions exist (e.g., SimScale, OnScale); no explicit claims of patented technology, exclusive partnerships, or first-mover status are documented in public sources.",3.98,"Pierre Sabrowski
Johannes Gutekunst
Johannes Becker, PhD*",,checked,"D. E. Shaw Group, First Momentum Ventures, Segenia Capital, Senovo Capital, German Accelerator, Berliner Startup Stipendium an der BHT",,63.0,Accelerating,Simulation Teams,None,4/4
BQP,https://www.bqpsim.com,"Syracuse, NY, USA",United States 🇺🇸,2020,30,Undisclosed or unknown,"Quantum-inspired optimization algorithms, first-mover advantage in quantum-enabled multiphysics CAE, strong technical IP, global media coverage","Early-stage market, quantum adoption is still maturing; integration complexity; needs continued funding and customer validation",Quantum Computing,Simulate,Simulation & Validation,"CAE, Quantum simulation","Quantum-powered simulation, engineering SaaS","Likely supports major engineering software, no public PLM integration listed yet",Python,checked,"Mesh,Implicit/F-rep",N/A,"Quantum Computing,Simulation,Engineering Software,AI for Industry 4.0","API-only,Cloud","Direct Sales,Enterprise,Global,SaaS,Subscription,Vertical","Deep Domain Expertise,High-fidelity Simulation,Deep Integrations,Patented Technology,Proprietary AI Models",Discrete Manufacturing,"Aerospace & Defense,Automotive",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Quantum-Accelerated Simulation,Startup Raisers,Seed,Seed Stage,2025,$5000000.0,$8500000.0,$1000000.0,$15000000.0,"Grant-funded, initial seed round, focused on R&D","Monta Vista Capital,
Empire State Development — New York Ventures (New York State Innovation Venture Capital Fund),
Arc Ventures,
Armory Square Ventures,
Emergent Ventures,
Alumni Ventures,
Arka Venture Labs,
Transpose Platform,
Gaingels,
Pranatech Venture Capital,
Paradigm Shift Capital,
Griffiss Institute (as part of the Mojave Aerospace Accelerator Fund),
Plug and Play",4.5,"Quantum/AI simulation for engineering is enormous and rapidly expanding with enterprise shift to high-performance computing, new classes of quantum software.",3.5,"Technology-heavy founding team with strong physics, computation, and software backgrounds, but early business execution and customer ramp-up.",4.5,"One of the only pure-plays globally at this intersection; deep technical stack, hard to replicate quantum modeling.",4.0,"Lean team, high R&D spend but capital efficient for this phase of quantum/CAE development.",3.0,"Strong early momentum, partnerships announced, pilot deployments, but still in early revenue phase.",4.0,Potential to disrupt multiphysics simulation and design workflow when quantum computing matures—strong institutional interest.,3.5,"Deep IP in quantum modeling/algorithms and first-mover reputation, but market will invite more entrants as it matures.",3.98,"Abhishek Chopra (CEO) *
Rut Lineswala",Need to schedule podcast with Franziska,checked,"Monta Vista Capital, Empire State Development — New York Ventures (New York State Innovation Venture Capital Fund), Arc Ventures, Armory Square Ventures, Emergent Ventures, Alumni Ventures, Arka Venture Labs, Transpose Platform, Gaingels, Pranatech Venture Capital, Paradigm Shift Capital, Griffiss Institute (as part of the Mojave Aerospace Accelerator Fund), Plug and Play",,65.0,Accelerating,Simulation Teams,None,3/4
JuliaHub,https://juliahub.com/,"Cambridge, United States",United States 🇺🇸,2015,111,"AstraZeneca,BlackRock,Google,Intel,Microsoft,Moderna,Pfizer,NASA,Federal Aviation Administration,Federal Reserve Bank of New York","Established technical computing platform with strong Julia ecosystem leverage and enterprise positioning across modeling, simulation, and SciML",Competes with entrenched incumbents and open-source alternatives and must keep enterprise differentiation clear,Simulation,Simulate,Simulation & Validation,"Scientific and technical computing, SciML, and digital twin workflows","Enterprise platform for scientific and technical computing, SciML, and digital twin workflows","ANSYS, Abaqus, COMSOL, Nastran, LS-DYNA, OpenFOAM, Fluent, STAR-CCM+, HyperMesh, STEP, STL, Parasolid, CATIA, NX, SolidWorks",,checked,"Generative,Mesh,Implicit/F-rep",,"Digital Twin,Simulation","Cloud,Web","Direct Sales,Enterprise,Horizontal,Regional,SaaS,Subscription","Proprietary AI Models,Physics-informed AI,Generative Modeling,AI for R&D,Simulation-Driven Design,High-fidelity Simulation","Discrete Manufacturing,Process Industries","Aerospace & Defense,Automotive,Energy & Utilities,Life Sciences,Medical Devices,Semiconductors",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Multi-Physics & Coupled Simulation,Startup Raisers,Series A,Early Stage,2021,$24000000.0,$24000000.0,$0.0,$116550000.0,Company announced a $24M Series A in 2021 and markets enterprise products including Dyad and other simulation offerings,"Dorilton Ventures,Menlo Ventures,General Catalyst,HighSage Ventures,AE Industrial Partners",4.3,Technical computing and simulation workloads are expanding and SciML is a clear adoption driver in industrial R&D,4.6,Founded by Julia creators with credible leadership and institutional backing,4.0,Tight integration with Julia plus enterprise platform positioning is differentiated versus tool-only offerings,3.3,$24M Series A with a mid-sized team suggests moderate efficiency but revenue is not public,2.9,Longstanding presence and enterprise claims exist but customer outcomes and revenue are not disclosed,4.1,Can accelerate R&D and enable digital twin and simulation workflows at scale in regulated industries,3.7,"Moat comes from Julia ecosystem lock-in, enterprise platform features, and validated industrial use cases",3.96,"Deepak Vinchhi (COO and co-founder)
Keno Fischer (CTO and co-founder)
Viral B. Shah (CEO and co-founder)",,,"Dorilton Ventures, Menlo Ventures, General Catalyst, HighSage Ventures, AE Industrial Partners",,55.0,Early/Pre-revenue,Simulation Teams,"Dassault, Siemens",3/4
Metafold 3D,https://www.metafold3d.com/,"Toronto, ON, CA",Canada 🇨🇦,2021,15,Undisclosed or unknown,"Advanced implicit modeling, cloud speed","Relatively new, still integrating with mainstream, some learning curve for implicit modeling",CAE,Simulate,Simulation & Validation,"Lattice Geometry, Cloud Modeling",Cloud Lattice/Lightweight CAD for AM,"STL, 3MF, DfAM tools",Python,checked,"Implicit/F-rep,Generative",Proprietary Cloud/implicit kernel,"Additive Manufacturing,Generative CAD,CAD,Cloud CAD,Digital Manufacturing","API-only,Cloud,On-Prem","Direct Sales,Enterprise,Horizontal,Partner/Channel,SMB,SaaS,Subscription","Design for Manufacturing,AI-driven Optimization,Patented Technology,Cloud-native Workflow,Generative Modeling",Discrete Manufacturing,"Consumer Goods,Industrial Equipment,Medical Devices","AI-Enabled User Experience,Physics & Domain AI","Extreme Analysis (CAE, CFD, FEA, QC)",Materials & Lattice Simulation,Startup Raisers,Seed,Seed Stage,2023,$1800000.0,$7000000.0,$515200.0,$7000000.0,ARR/contract SaaS,"Differential Ventures, Active Impact Investments, Jetstream, StandUp Ventures, National Research Council Canada (IRAP Youth Employment Program)",4.0,"Growing DfAM and AM market, global",4.2,"Ex-ANSYS devs, high delivery rate",4.1,Implicit modeling is rare tech,4.3,Cost-efficient remote/lean Canadian startup,3.2,"Solid press/adopter growth, but not mainstream",3.6,Cited by reviewers in DfAM space,3.3,"Metafold 3D claims proprietary lattice generation and geometry optimization technology for additive manufacturing, with a cloud-based platform enabling complex, lightweight structures not easily achievable with traditional CAD tools (About and Technology pages, accessed March 2026). While the company highlights unique computational geometry IP and case studies with enterprise clients, similar generative design and lattice optimization solutions exist in the market, making its moat moderate.",3.95,"Elissa Ross (CEO) **
Daniel Hambleton
Tom Reslinsky

",Connected to Elissa - need to learn more!!,checked,"Differential Ventures, Active Impact Investments, Jetstream, StandUp Ventures, National Research Council Canada (IRAP Youth Employment Program)",,65.0,Steady,Simulation Teams,None,4/4
Quanscient,https://quanscient.com,"Tampere, Finland",Finland 🇫🇮,2021,40,"Skytran, Teraloop, Academia, Finpower
","100x faster simulations than traditional CAE, cloud-native architecture, usage-based pricing, seamless scalability","Heavy dependence on quantum computing promises that may not materialize quickly, Small scale competing against entrenched incumbents, Vulnerable to “quantum winter” if hype cycles reverse",Quantum Computing,Simulate,Simulation & Validation,"CFD, Quantum Computing, Multiphysics Simulation","Quantum Computing, CFD, Multiphysics, FEA, Structural Analysis","ANSYS, Abaqus, COMSOL, Nastran, LS-DYNA, OpenFOAM, Fluent, STAR-CCM+, HyperMesh, STEP, STL, Parasolid, CATIA, NX, SolidWorks","Python,Java",checked,Mesh,N/A,"Simulation,Quantum Computing,CFD,Engineering Software,Cloud CAD,Engineering Analysis,AI for Industry 4.0,Advanced Manufacturing","Cloud,On-Prem,Web","Enterprise,Horizontal,Product-led Growth,SaaS,Usage-based","Physics-informed AI,High-fidelity Simulation,Cloud-native Simulation,Cloud-native Workflow,Deep Domain Expertise,Workflow Efficiency,Fast Deployment,Proprietary AI Models",Discrete Manufacturing,"Aerospace & Defense,Automotive,Energy & Utilities,High-Tech & Electronics,Industrial Equipment,Medical Devices",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Quantum-Accelerated Simulation,Startup Raisers,Series A,Early Stage,2024,$6000000.0,$9940000.0,$2000000.0,$18000000.0,€9.9M total; multiple sources confirm,"Crowberry Capital, Speen Holding, Maki.vc, First Fellow Partners, Business Finland, Risto Siilasmaa, Teemu Jokinen, Mikko Suonenlahti, Ilkka Kivimaki, Jenny Ruth Hrafnsdottir.",4.5,"Quanscient provides cloud and quantum-powered multiphysics simulation solutions for engineering and manufacturing sectors, targeting industries such as automotive, aerospace, and electronics—markets with significant digital transformation and simulation software adoption. The global engineering simulation software market was valued at over $8B in 2023 and is projected to grow at a CAGR of 12.6% through 2030 (Grand View Research, 2024), driven by demand for faster, more accurate simulations and the integration of quantum computing.",3.5,"Quanscient’s founders include CEO Tommi Mikkonen (ex-Nokia, serial entrepreneur) and CTO Jukka-Pekka Nieminen (PhD, simulation expert). The team has deep expertise in physics-based simulation and cloud computing. Notable investors include Maki.vc and Butterfly Ventures. The company has announced partnerships with leading industrial firms and secured EU funding. Product milestones include the launch of Quanscient Allsolve, a cloud-native multiphysics simulation platform, and customer traction in automotive and electronics sectors. Recent press (2023–2024) highlights rapid team growth and international expansion.",4.5,"Quanscient claims a proprietary multiphysics simulation platform leveraging quantum computing and cloud-native architecture (see Technology and Product pages, 2024), enabling faster and more scalable simulations than traditional HPC approaches. The company was awarded an EIC Accelerator grant in 2023 for its quantum-enhanced simulation technology and has published technical whitepapers outlining unique solver algorithms. Independent coverage in Tech.eu (June 2024) highlights Quanscient as a pioneer in quantum-powered engineering simulation, though no granted patents are listed publicly as of March 10, 2026.",3.0,"Quanscient has raised €3.9 million in seed funding as of June 2023, led by Maki.vc and co-investors. The company focuses on cloud and quantum-powered multiphysics simulations. While specific user numbers or ARR have not been publicly disclosed, Quanscient has reported delivering milestones such as launching its cloud simulation platform and securing partnerships with industrial clients. Compared to sector norms, raising nearly €4 million at the seed stage for a deep tech simulation startup is in line with expectations, especially given the capital-intensive nature of quantum and cloud simulation development. No notable capital efficiency claims (such as bootstrapping or rapid revenue growth on low burn) have been publicly reported as of March 2026.",3.5,"Quanscient raised €3.9M in seed funding in June 2023 (Tech.eu), has announced partnerships with major industrial clients, and has expanded its cloud-based multiphysics simulation platform globally; recent press releases and case studies highlight adoption by enterprise customers in automotive and electronics sectors (company blog, 2023–2024).",4.0,"Quanscient has demonstrated notable industry impact through several key indicators over the past 24 months. The company has secured partnerships with leading organizations such as ABB and VTT, as highlighted in their case studies and press releases. Their multiphysics simulation platform has been adopted by customers in sectors like superconducting magnets and electric motors, with case studies detailing measurable improvements in simulation speed and accuracy. Quanscient was selected for the EIC Accelerator and received funding from the European Innovation Council, signaling recognition from major innovation bodies. The company has also been featured in industry news (e.g., HPCwire, Tech.eu) and was a finalist in the 2023 Nordic Startup Awards. While Quanscient is gaining traction and recognition, it is not yet established as a sector standard, which justifies a strong but not top-tier score of 4.1.",3.5,"Quanscient’s website (Product → Quantum CFD, July 2025) describes the company as the world’s first quantum-native cloud SaaS for multiphysics simulation, featuring proprietary, patent-pending solvers and integrations with AWS and Siemens, with reference enterprise pilots launched in 2025.",3.88,"Juha Riippi (CEO) **
Valtteri Lahtinen**",Webcast 1 October,checked,"Crowberry Capital, Speen Holding, Maki.vc, First Fellow Partners, Business Finland, Risto Siilasmaa, Teemu Jokinen, Mikko Suonenlahti, Ilkka Kivimaki, Jenny Ruth Hrafnsdottir",,55.0,Accelerating,Simulation Teams,"Dassault, Siemens",3/4
Collimator,https://www.collimator.ai/,"Seattle, WA, USA",United States 🇺🇸,2020,20,"Automotive, Aerospace, IIoT engineers; NESA Innovation Labs",1D simulation for controllers (Simulink replacement); High NPS; intuitive GUI; high customer satisfaction; AI-driven; collaborative simulation model design (G2 High Performer),Small market presence relative to incumbents,CAE,Simulate,Simulation & Validation,"Simulation, Controller Design, CAE",1D simulation for control and engineering (Simulink replacement),"MATLAB/Simulink, CSV, Excel",Python,checked,"Mesh,Implicit/F-rep",N/A,"Simulation,Engineering Software,Cloud CAD,Digital Twin,Browser-based","API-only,Cloud,On-Prem,Web","API/SDK,Horizontal,Product-led Growth,SMB,SaaS,Subscription","Cloud-native Simulation,Agentic Automation,Ease of Use,Cloud-native Workflow,Simulation-Driven Design,Collaborative Intelligence",Discrete Manufacturing,"Aerospace & Defense,Automotive,High-Tech & Electronics",Physics & Domain AI,"Extreme Analysis (CAE, CFD, FEA, QC)",Systems-Level & Digital Twin Simulation,Startup Raisers,Seed,Seed Stage,2020,$5000000.0,$2000000.0,$300000.0,$15000000.0,Latest: Seed; Verified ok (unknown_date),"S28 Capital, Octave, Will Smith",4.0,"The market for modern, cloud-based simulation tools is growing and there is strong demand to replace legacy tools with collaborative, SaaS-native alternatives.",4.5,Founders and team are recognized for consistent product updates and customer-facing material; earn “High Performer” awards (G2) and good transparency.,3.5,The only cloud SME-targeted Simulink competitor with modern Python API; collaborative features are a core draw vs. entrenched offline tools.,4.5,"Significant output, press coverage, and testimonials despite modest seed funding; efficient use of resources is clear from high customer growth/employee ratio.",3.5,"G2 and Stack Overflow reviews show rapid adoption in smaller firms, but big enterprise traction is still developing.",3.0,"Visibility is rising, user reviews are strong, but industry standardization is not yet close.",3.0,Powerful but broad competition; many companies are building overlapping “Simulink in cloud” offerings.,3.88,Reda Dehy,,,"S28 Capital, Octave, Will Smith",,65.0,Accelerating,Simulation Teams,None,3/4
