Name;Company URL;Technology Independence Score;Ecosystem Dependencies;Growth Momentum Tier;Buyer Persona
Laminar;https://runlaminar.com/;40;None;Accelerating;Manufacturing / OT
Authentise;https://www.authentise.com/;55;None;Steady;Manufacturing / OT
Diode Computers;https://www.diode.computer;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
HighQA;https://www.highqa.com/;55;None;Early/Pre-revenue;Quality / Inspection
BIMtwin;https://www.bimtwin.cz/;53;Autodesk;Early/Pre-revenue;Design Engineering
Backflip AI;https://backflip.ai;33;Dassault;Accelerating;Design Engineering
ThredCloud;https://thred.cloud;55;None;Early/Pre-revenue;Manufacturing / OT
Plasticity;https://plasticity.xyz;57;Siemens;Early/Pre-revenue;Design Engineering
OTee;https://otee.io/;55;None;Early/Pre-revenue;Operations Executives
TDEngine;https://tdengine.com/;55;None;Accelerating;Manufacturing / OT
Alloy Enterprises;https://alloyenterprises.co/;55;None;Accelerating;Manufacturing / OT
SysGit;https://www,sysgit.com;55;None;Accelerating;R&D Leadership
Octotronic;https://octotronic.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Optrix;https://docs.optrix.com.au/;55;None;Early/Pre-revenue;Manufacturing / OT
Manufacturo;https://manufacturo.com;44;Dassault, Siemens;High Growth;Manufacturing / OT
Outrider;https://www.outrider.ai/;55;None;Accelerating;Supply Chain / Logistics
Machina Labs;https://machinalabs.ai;55;None;High Growth;Manufacturing / OT
Addverb (acquired by Reliance Retail Ventures Ltd in 2022);https://addverb.com;40;None;Early/Pre-revenue;Supply Chain / Logistics
Overview AI;https://www.overview.ai/;55;None;Accelerating;Quality / Inspection
nVariate;http://nvariate.com;55;None;Early/Pre-revenue;Simulation Teams
camfer;https://www.camfer.dev/;55;None;Early/Pre-revenue;Design Engineering
Rhize Manufacturing Hub;https://rhize.com;55;None;Early/Pre-revenue;Manufacturing / OT
Formant;https://formant.io/;55;None;Accelerating;Manufacturing / OT
Perception Manufacturing;https://www.perception-manufacturing.com/;55;None;Early/Pre-revenue;Quality / Inspection
Vsim;https://v-sim.co.uk/;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
PlaSiV;https://plasiv.com/;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
ALFI Technologies;https://alfi-technologies.com/;60;None;Accelerating;Manufacturing / OT
Squint;https://squint.ai;50;None;Accelerating;Manufacturing / OT
Spectar (bankrupt in 2023);https://www.spectar.io;55;None;Early/Pre-revenue;Design Engineering
AiSupervision;https://www.aisupervision.com;55;None;Early/Pre-revenue;Manufacturing / OT
